Nombre,GK,CWP,CBT,SB,DM,WB,CM,SM,AM,WG,SS,CF,X1,Height,Foot,Side,WFA,WFF,Attack,Defense,Balance,Stamina,Speed,Acceleration,Response,Agility,Dribble_Accuracy,Dribble_Speed,Short_Pass_Accuracy,Short_Pass_Speed,Long_Pass_Accuracy,Long_Pass_Speed,Shot_Accuracy,Shot_Power,Shot_Technique,Free_Kick_Accuracy,Swerve,Heading,Jump,Technique,Agression,Mentality,GK_Skills,Teamwork,Consistency,Condition,Dribbling,Tactical_Dribble,Positioning,Reaction,Playmarking,Passing,Scoring,1_1_Scoring,Post_Player,Lines,Middle_Shooting,Side,Centre,Penalties,1_Touch_Pass,Outside,Marking,Sliding,Covering,D_Line_Control,Penalty_Stopper,1_On_1_Stopper,Long_Throw,Injury_Tolerancy,X3,X4,X5,X6,Age,Weight,Pais,N_Pais,X7,Club,N_Club
Karl Darlow,1,0,0,0,0,0,0,0,0,0,0,0,0,185,R,B,4,4,30,79,82,69,65,63,86,70,51,50,53,53,55,60,44,80,44,44,44,55,74,50,60,76,79,74,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,79,England,0,0,Newcastle United FC,26
Hamdi Nagguez,0,0,0,1,0,0,0,0,0,0,0,0,4,186,R,B,4,4,69,65,86,82,81,73,71,68,76,79,69,69,74,78,65,77,64,60,70,78,77,77,79,72,50,77,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,75,Tunisia,21,0,,0
F. Aristeguieta,0,0,0,0,0,0,0,0,0,0,0,1,12,187,R,B,4,4,74,41,85,78,70,74,79,67,73,75,73,75,66,66,76,82,78,70,67,83,81,75,82,73,50,67,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,82,Venezuela,0,0,,0
Nacho Martínez,0,0,0,1,0,0,0,0,0,0,0,0,4,174,L,L,4,3,71,64,73,86,85,83,75,84,76,85,74,78,77,77,61,81,62,67,72,62,84,77,82,73,50,71,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,63,Spain,0,0,Real Valladolid CF,22
Hidde ter Avest,0,0,1,1,0,1,0,0,0,0,0,0,4,182,R,R,5,5,67,70,81,83,82,81,76,73,74,75,74,75,73,75,63,75,65,60,69,73,77,75,75,67,50,76,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,21,78,Netherlands,0,0,Udinese Calcio,18
G. Lapadula,0,0,0,0,0,0,0,0,0,0,1,1,12,178,L,B,6,4,78,50,77,80,78,77,83,75,74,77,72,70,68,72,76,79,74,69,70,72,76,77,89,82,50,73,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,69,Italy,0,0,US Lecce,9
Diego Arias,0,0,0,0,0,0,0,1,0,1,1,1,10,184,R,R,3,3,68,40,74,73,80,79,71,76,76,77,69,69,68,71,68,73,66,64,65,72,72,70,75,67,40,73,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,4,1,1,1,20,74,Chile,0,0,Deportes Temuco,34
Joona Toivio,0,0,1,0,0,0,0,0,0,0,0,0,3,186,R,B,5,5,67,79,84,83,77,74,81,77,73,72,75,72,77,74,68,85,66,75,65,83,83,75,58,76,50,79,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,1,1,1,1,31,79,Finland,4,0,,0
José Luis Gayá,0,0,0,1,0,0,0,0,0,0,0,0,4,172,L,L,4,4,74,66,70,87,81,85,77,86,83,84,78,76,80,76,63,75,63,63,80,62,71,82,83,73,50,76,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,62,Spain,18,0,Valencia CF,14
Viktor Fischer,0,0,0,0,0,0,0,1,0,1,1,0,11,181,R,L,6,5,76,35,75,83,81,82,76,81,86,82,76,75,74,70,77,82,76,69,76,68,74,83,83,72,50,73,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,80,Denmark,0,0,,0
Odion Ighalo,0,0,0,0,0,0,0,0,0,0,1,1,12,183,R,B,5,5,83,41,84,83,85,83,84,83,84,78,71,70,67,69,82,82,80,65,66,77,81,79,82,71,50,73,8,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,73,Nigeria,0,0,Manchester United FC,25
Vitão,0,0,1,0,1,0,0,0,0,0,0,0,3,186,R,B,4,4,53,73,81,79,76,68,78,68,70,72,71,75,68,75,59,78,65,63,62,78,78,73,62,73,50,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,19,75,Brazil,0,0,FC Shakhtar Donetsk,49
Arthur,0,0,0,0,0,0,1,0,0,0,0,0,7,171,R,B,5,4,76,64,79,86,77,84,77,83,87,78,86,86,84,76,72,76,73,73,78,66,68,86,76,78,50,91,8,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,23,73,Brazil,8,0,FC Barcelona,8
Álvaro Morata,0,0,0,0,0,0,0,0,0,0,1,1,12,189,R,B,7,4,86,43,85,84,87,87,84,74,81,87,77,72,76,73,74,82,78,67,76,87,78,81,90,59,50,76,8,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,26,85,Spain,7,0,Atlético Madrid,9
Lucas Hernández,0,0,1,1,0,0,0,0,0,0,0,0,4,183,L,L,3,3,65,86,77,82,84,79,85,82,76,71,75,75,77,76,54,75,56,53,62,71,89,75,66,74,40,80,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,1,1,1,1,22,76,France,0,0,FC Bayern München,21
G. Paulista,0,0,1,0,0,0,0,0,0,0,0,0,3,185,R,B,4,4,59,83,83,80,78,76,83,72,69,72,72,70,73,75,58,76,59,58,64,76,85,74,64,77,50,72,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,3,1,1,1,29,72,Brazil,0,0,Valencia CF,5
Cenk Tosun,0,0,0,0,0,0,0,0,0,0,0,1,12,184,R,B,7,7,80,40,83,80,78,80,82,77,81,77,76,76,76,76,79,84,83,70,76,78,83,82,83,77,50,79,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,27,80,Turkey,0,0,Everton FC,14
Gabriel Jesus,0,0,0,0,0,0,0,0,0,1,1,1,12,175,R,B,5,4,83,51,82,87,84,86,85,84,83,80,75,72,73,69,75,79,75,55,74,78,85,85,90,72,50,70,8,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,B,3,1,1,1,22,67,Brazil,9,0,Manchester City FC,9
Harry Kane,0,0,0,0,0,0,0,0,0,0,1,1,12,188,R,B,7,7,93,51,85,88,77,69,90,67,79,72,83,84,85,87,92,92,91,79,82,88,85,86,82,85,50,83,1,4,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,B,1,1,1,1,26,86,England,9,0,Tottenham Hotspur FC,10
Richard Sánchez,0,0,0,0,1,0,1,0,0,0,0,0,7,176,R,R,5,5,73,64,78,82,76,77,78,80,77,81,78,80,79,76,74,84,72,65,73,70,75,78,79,72,50,79,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,70,Paraguay,6,0,,0
Iago Falqué,0,0,0,0,0,0,0,0,1,1,1,1,11,174,L,B,5,4,80,50,75,75,77,82,80,85,84,81,79,75,82,76,80,75,78,78,85,63,66,86,82,71,50,72,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,30,69,Spain,0,0,Genoa CFC,10
Christian Atsu,0,0,0,0,0,0,0,1,0,1,0,0,8,172,L,L,3,2,68,39,66,77,89,94,68,92,83,85,73,65,72,73,65,78,69,66,78,58,76,79,79,69,50,65,8,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,68,Ghana,7,0,Newcastle United FC,30
S. Cikalleshi,0,0,0,0,0,0,0,0,0,1,1,1,12,185,R,B,6,3,75,42,81,79,83,81,77,81,78,81,72,70,70,70,74,83,74,69,71,75,80,78,82,71,50,73,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,73,Albania,0,0,,0
Yunus Akgün,0,0,0,0,0,0,0,1,0,1,1,0,10,176,L,B,5,2,63,22,64,68,78,85,60,87,78,81,67,64,62,65,64,70,60,52,59,55,62,76,78,56,50,58,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,19,65,Turkey,0,0,Galatasaray SK,17
A. Robinson,0,0,0,1,0,1,0,1,0,0,0,0,4,183,L,L,3,2,70,64,78,84,92,90,80,83,75,84,68,68,74,69,60,74,61,58,64,66,70,69,83,67,50,67,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,70,USA,5,0,,0
Raúl Olivares,1,0,0,0,0,0,0,0,0,0,0,0,0,185,R,B,4,4,30,74,80,50,65,62,81,72,47,46,50,52,54,62,45,48,45,45,47,55,81,48,58,65,72,64,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,31,73,Chile,0,0,Deportes La Serena,13
Rodrigo Tarín,0,0,1,1,0,0,0,0,0,0,0,0,3,184,R,R,4,4,60,74,80,79,77,75,77,72,73,74,73,73,69,73,59,75,60,60,67,72,79,74,65,70,50,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,76,Spain,0,0,CD Leganés,15
Alex Sandro,0,0,1,1,0,1,0,1,0,0,0,0,4,180,L,L,6,3,72,67,85,88,84,84,78,77,84,80,77,78,84,85,66,81,72,66,78,75,77,82,78,74,50,74,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,3,1,1,1,29,80,Brazil,6,0,Juventus FC,12
Morgan Sanson,0,0,0,0,1,0,1,0,1,0,0,0,7,180,R,R,6,6,77,70,77,85,77,79,77,79,84,78,85,80,84,81,73,77,72,73,77,66,72,84,75,75,50,82,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,3,1,1,1,25,73,France,0,0,Olympique de Marseille,8
Chema,0,0,1,1,1,0,0,0,0,0,0,0,3,189,L,L,3,3,57,77,81,76,73,72,77,65,67,72,68,71,72,76,58,78,58,51,55,74,80,71,63,74,50,71,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,80,Spain,0,0,Getafe CF,6
G. Bonaventura,0,0,0,0,0,0,1,1,1,1,0,0,7,181,R,L,6,6,79,59,73,84,78,78,85,78,84,82,81,81,81,78,77,81,79,79,83,75,71,84,85,81,50,84,8,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,30,75,Italy,0,0,AC Milán,5
Peacock-Farrell,1,0,0,0,0,0,0,0,0,0,0,0,0,193,R,B,3,3,30,79,78,67,71,74,84,75,55,56,58,60,58,62,44,77,44,44,48,55,81,54,60,68,77,65,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,73,Northern Ireland,1,0,Burnley FC,15
Ciaron Brown,0,0,1,1,0,0,0,0,0,0,0,0,3,185,L,L,3,2,61,54,78,74,74,74,79,76,75,79,70,65,73,70,58,76,60,68,60,64,77,66,61,68,50,79,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,76,Northern Ireland,18,0,,0
César,1,0,0,0,0,0,0,0,0,0,0,0,0,194,R,B,3,3,30,78,85,69,67,72,82,70,50,50,53,55,54,61,44,78,44,44,48,44,78,53,64,73,78,68,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,86,Brazil,0,0,CR Flamengo,37
Brayan Beckeles,0,0,1,1,0,0,0,0,0,0,0,0,4,183,R,R,5,5,65,70,85,83,82,80,77,74,73,76,69,71,73,77,65,83,67,60,68,78,84,73,75,74,50,73,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,33,80,Honduras,0,0,,0
Michael Smith,0,0,1,1,1,0,0,0,0,0,0,0,4,180,R,R,6,5,66,68,79,85,76,80,79,79,76,78,75,65,74,70,55,77,64,63,70,68,84,72,80,65,50,76,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,31,71,Northern Ireland,22,0,,0
B. Mendoza,0,0,0,1,1,0,0,0,0,0,0,0,4,174,R,R,4,4,57,61,75,75,75,72,69,70,67,73,68,68,68,69,57,75,60,56,65,72,75,72,62,65,40,75,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,69,Chile,0,0,San Marcos de Arica,17
Corry Evans,0,0,1,0,1,0,0,0,0,0,0,0,5,173,R,B,5,5,61,72,82,84,78,77,79,76,75,77,76,78,76,78,66,80,66,65,68,76,76,76,72,81,50,78,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,69,Northern Ireland,13,0,,0
Liam Boyce,0,0,0,0,0,0,0,0,0,0,1,1,12,184,R,B,5,4,79,41,81,76,76,78,73,74,77,78,74,73,71,72,79,75,75,77,70,78,76,76,80,74,50,80,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,85,Northern Ireland,9,0,,0
Josh Magennis,0,0,0,0,0,0,0,0,0,0,0,1,12,188,R,B,4,4,72,37,88,77,76,80,73,82,67,77,74,63,73,69,72,85,64,75,69,78,84,75,71,64,50,65,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,92,Northern Ireland,21,0,,0
Diego Tapia,1,0,0,0,0,0,0,0,0,0,0,0,0,180,R,B,2,2,30,72,80,56,65,66,76,64,54,51,52,53,56,56,41,73,42,42,41,52,78,58,64,62,72,62,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,70,Chile,0,0,Magallanes,25
Thierry Correia,0,0,0,1,0,0,0,0,0,0,0,0,4,176,R,B,5,4,67,57,74,81,86,84,72,80,78,83,71,73,74,76,59,75,61,62,71,65,77,78,77,66,50,67,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,20,68,Portugal,0,0,Valencia CF,2
Toni Leistner,0,0,1,1,1,0,0,0,0,0,0,0,3,190,R,B,4,4,63,74,88,79,76,68,77,64,70,76,72,76,70,75,55,79,60,51,63,84,78,72,71,73,50,71,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,29,87,Germany,0,0,FC Köln,37
Tom Flanagan,0,0,1,0,0,0,0,0,0,0,0,0,3,188,R,B,5,5,56,77,81,77,78,74,78,70,65,68,64,68,67,65,62,74,61,55,53,75,78,69,57,69,50,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,76,Northern Ireland,4,0,,0
Shane Ferguson,0,0,0,1,0,1,0,1,0,1,0,0,8,176,L,L,6,5,70,58,75,77,82,81,72,77,81,78,74,74,77,78,65,79,66,66,71,69,72,77,78,70,50,67,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,65,Northern Ireland,11,0,,0
Gojko Cimirot,0,0,0,0,1,0,1,0,0,0,0,0,7,178,R,B,5,3,66,67,78,85,78,80,78,79,76,76,77,76,75,76,65,82,70,60,68,64,72,76,68,71,40,83,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,74,Bosnia and Herzegovina,0,0,,0
Oliver Norwood,0,0,0,0,1,0,1,0,0,0,0,0,7,180,R,B,4,4,74,63,76,81,70,70,73,69,75,62,83,85,88,90,67,83,73,80,78,60,62,77,68,80,50,87,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,28,76,Northern Ireland,0,0,Sheffield United FC,16
Marco Russ,0,0,1,0,1,0,0,0,0,0,0,0,3,190,R,R,5,5,66,77,84,79,75,75,80,67,71,66,75,75,77,78,62,81,63,61,64,81,78,76,67,78,50,79,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,34,75,Germany,0,0,Eintracht Frankfurt,23
Bruno Cortez,0,0,0,1,0,0,0,0,0,0,0,0,4,181,L,L,4,4,68,61,78,84,84,84,71,81,78,84,74,76,75,77,65,81,68,62,74,64,75,78,83,67,50,75,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,32,75,Brazil,0,0,Grêmio FBPA,12
Niall McGinn,0,0,0,0,0,0,0,1,0,1,0,0,8,182,R,B,6,5,74,52,73,82,86,87,76,85,81,84,71,72,81,79,71,77,72,71,81,70,77,80,84,77,50,75,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,31,77,Northern Ireland,7,0,,0
Stuart Dallas,0,0,0,1,1,1,1,1,0,0,0,0,8,183,R,B,5,5,68,60,75,89,80,82,76,79,76,78,73,84,72,87,65,87,65,61,65,66,68,73,80,83,50,77,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,29,81,Northern Ireland,14,0,,0
Kyle Lafferty,0,0,0,0,0,0,0,0,0,1,0,1,12,193,R,L,6,6,77,49,84,83,83,81,78,74,79,81,73,75,75,78,75,82,79,72,76,80,78,80,83,79,50,76,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,31,88,Northern Ireland,10,0,,0
G. Fernandes,0,0,0,1,0,0,1,1,0,0,0,0,7,181,R,B,2,2,70,60,74,85,82,82,77,82,80,80,78,77,76,75,64,82,68,64,66,67,75,81,78,72,50,78,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,20,71,Portugal,0,0,Tottenham Hotspur FC,30
Guido Pizarro,0,1,0,0,1,0,1,1,0,0,0,0,5,186,R,R,5,4,65,75,83,86,72,68,78,70,82,68,84,85,82,80,69,80,70,66,69,75,75,82,68,73,50,86,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,78,Argentina,0,0,,0
Andrei Lunev,1,0,0,0,0,0,0,0,0,0,0,0,0,189,R,R,3,3,30,83,85,69,70,74,85,68,51,58,60,68,64,67,44,80,44,44,48,44,80,53,67,68,79,70,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,80,Russia,12,0,Zenit FC,99
Kristoffer Ajer,0,0,1,0,0,0,0,0,0,0,0,0,3,196,R,B,3,3,62,77,86,79,77,76,74,64,74,77,76,77,72,71,62,74,58,58,59,76,73,75,58,73,50,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,94,Norway,3,0,Celtic FC,35
Javier Ramírez,0,0,0,1,0,1,0,1,0,1,0,0,4,174,L,L,4,4,65,47,68,76,78,77,69,77,70,75,67,67,66,68,64,72,66,61,67,66,72,69,70,65,40,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,70,Chile,0,0,Deportes Valdivia,13
T. Reginiussen,0,0,1,0,0,0,0,0,0,0,0,0,3,185,R,B,5,4,65,78,83,82,79,78,78,74,72,74,73,75,72,74,67,80,68,65,67,79,80,73,68,81,50,79,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,33,80,Norway,4,0,,0
Aarón Martín,0,0,0,1,0,0,0,1,0,0,0,0,4,180,L,L,3,3,69,64,78,87,83,79,77,75,76,81,73,75,79,82,61,80,63,71,74,67,74,77,78,74,50,77,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,72,Spain,0,0,FSV Mainz 05,3
M. Henriksen,0,0,0,0,1,0,1,0,0,0,0,0,7,187,R,B,4,4,65,63,80,78,75,72,76,65,76,67,76,72,73,71,67,84,69,56,56,72,80,76,71,71,50,75,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,27,78,Norway,19,0,,0
Mariano Barbosa,1,0,0,0,0,0,0,0,0,0,0,0,0,188,R,B,4,4,30,79,81,64,64,67,84,65,58,54,66,66,65,70,44,79,44,44,48,55,81,62,64,71,78,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,34,79,Argentina,0,0,Villarreal CF,25
H. Nordtveit,0,0,1,1,1,0,0,0,0,0,0,0,3,188,R,R,5,5,65,74,83,80,75,70,79,67,77,70,79,82,78,79,67,83,69,77,77,78,77,78,68,67,50,77,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,1,1,1,1,29,83,Norway,6,0,TSG 1899 Hoffenheim,6
Vanderlei,1,0,0,0,0,0,0,0,0,0,0,0,0,195,R,B,4,4,30,85,83,69,70,71,87,73,56,55,55,62,61,65,44,84,44,44,48,44,78,56,64,80,83,72,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,35,86,Brazil,0,0,Grêmio FBPA,27
Steven N'Zonzi,0,0,0,0,1,0,1,0,0,0,0,0,5,196,R,B,4,5,68,76,90,86,73,66,83,63,79,72,83,79,84,83,68,81,67,66,72,81,81,79,71,74,50,83,8,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,1,1,1,1,30,88,France,0,0,,0
Luiz Phellype,0,0,0,0,0,0,0,0,0,0,0,1,12,188,R,B,4,4,75,46,84,78,80,80,73,78,77,73,68,70,69,70,76,80,75,68,65,80,77,76,83,72,50,70,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,86,Brazil,0,0,Sporting Clube de Portugal,29
S. Grytebust,1,0,0,0,0,0,0,0,0,0,0,0,0,187,R,R,4,4,30,78,85,58,63,66,82,77,45,44,44,51,59,65,37,79,35,38,38,45,83,50,59,77,80,66,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,29,83,Norway,22,0,,0
Rune Jarstein,1,0,0,0,0,0,0,0,0,0,0,0,0,190,R,B,5,5,30,80,82,65,58,58,83,70,51,49,61,59,64,63,45,82,55,45,45,55,75,62,65,75,81,79,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,34,82,Norway,1,0,Hertha BSC Berlín,22
Javier Eraso,0,0,0,0,0,0,1,1,1,0,0,0,9,180,R,B,5,4,69,59,78,83,74,74,79,73,74,76,77,75,77,77,69,79,69,69,71,68,74,77,76,77,50,73,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,71,Spain,0,0,CD Leganés,17
Even Hovland,0,0,1,0,0,0,0,0,0,0,0,0,3,190,R,B,5,5,49,78,82,77,77,78,80,77,70,74,71,67,68,68,52,76,54,55,55,76,74,70,72,75,50,75,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,30,82,Norway,5,0,,0
T. Antalyali,0,0,0,0,0,0,1,1,1,0,0,0,7,180,R,B,5,4,72,70,75,81,76,77,79,82,74,73,77,77,76,76,69,78,70,77,79,64,78,78,74,79,50,79,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,B,1,1,1,1,24,75,Turkey,0,0,Galatasaray SK,48
O. Elabdellaoui,0,0,0,1,0,1,0,0,0,0,0,0,4,179,R,R,4,4,73,65,76,85,82,83,76,78,77,76,72,73,78,76,69,75,67,65,76,66,72,76,76,75,50,80,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2,1,1,1,27,73,Norway,14,0,,0
Florian Wirtz,0,0,0,0,0,0,0,1,1,0,0,0,9,172,R,B,4,4,64,37,66,68,76,79,60,83,84,77,67,65,71,63,59,71,61,64,69,56,59,79,74,57,50,63,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,17,68,Germany,0,0,Bayer 04 Leverkusen,27
Per Skjelbred,0,0,0,0,1,0,1,1,0,0,0,0,7,175,R,B,5,5,71,70,78,84,77,81,79,82,80,80,79,76,74,74,69,76,70,68,70,69,75,82,75,74,50,79,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,62,Norway,0,0,Hertha BSC Berlín,3
R. Hernandez,0,0,0,1,0,0,0,1,0,0,0,0,4,172,R,R,4,4,59,57,76,78,83,83,70,80,69,76,64,65,68,66,55,68,53,52,56,43,73,71,69,69,50,63,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,70,Venezuela,0,0,,0
Andraz Sporar,0,0,0,0,0,0,0,0,0,0,0,1,12,186,R,B,5,6,70,23,76,77,78,78,73,76,75,75,72,70,71,70,70,74,75,55,60,70,74,77,79,68,50,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,82,Slovenia,9,0,Sporting Clube de Portugal,90
Loïc Mbe Soh,0,0,1,0,0,0,0,0,0,0,0,0,3,186,R,B,3,3,55,69,79,70,77,75,68,65,67,65,74,70,69,68,50,70,53,52,56,65,73,65,59,62,50,63,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,18,80,France,0,0,Paris Saint-Germain FC,36
