Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technical,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Height_PSD,Foot_PSD,Side_PSD,WFA_PSD,WFF_PSD,Attack_PSD,Defense_PSD,Balance_PSD,Stamina_PSD,Speed_PSD,Acceleration_PSD,Response_PSD,Agility_PSD,Dribble_Accuracy_PSD,Dribble_Speed_PSD,Short_Pass_Accuracy_PSD,Short_Pass_Speed_PSD,Long_Pass_Accuracy_PSD,Long_Pass_Speed_PSD,Shot_Accuracy_PSD,Shot_Power_PSD,Shot_Technique_PSD,Free_Kick_Accuracy_PSD,Swerve_PSD,Heading_PSD,Jump_PSD,Technique_PSD,Agression_PSD,Mentality_PSD,GK_Skills_PSD,Teamwork_PSD,Consistency_PSD,Condition_PSD,Dribbling_SA,Tactical_Dribble_SA,Positioning_SA,Reaction_SA,Playmarking_SA,Passing_PA,Scoring_PA,1_1_Scoring_PA,Post_Player_PA,Lines_PA,Middle_Shooting_PA,Side_PA,Centre_PA,Penalties_PA,1_Touch_Pass_SA,Outside_PA,Marking_PA,Sliding_PA,Covering_PA,D_Line_Control_SA,Penalty_Stopper_PA,1_On_1_Stopper_PA,Long_Throw_PA,Injury_Tolerancy_PSD,Age,Weight
4,7,13,7,13,4,15,5,8,15,13,5,15,12,13,15,14,15,15,15,14,10,8,11,17,14,10,13,14,14,13,17,14,14,15,14,192,R,B,4,4,66,84,91,74,79,72,86,63,72,75,81,87,79,81,67,81,66,67,69,84,79,76,73,75,50,75,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,27,83
14,17,14,11,15,14,10,13,13,13,16,13,13,15,15,15,14,15,13,14,16,14,13,15,12,15,16,15,14,14,14,11,14,14,13,12,180,R,R,6,6,78,63,79,88,86,82,80,78,74,77,86,87,95,91,63,87,65,79,90,71,83,79,81,82,50,77,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,21,69
9,16,12,4,15,7,10,8,13,14,14,7,15,13,15,16,16,14,15,15,15,11,12,15,14,16,14,17,16,15,14,8,16,16,17,11,178,L,L,4,6,76,70,79,96,87,86,84,83,73,83,77,75,90,85,67,83,68,60,86,66,77,77,86,87,50,80,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,25,63
6,8,14,6,15,6,15,7,14,14,13,6,15,14,14,15,14,15,14,14,17,8,10,10,15,14,8,14,15,15,14,15,14,16,15,15,185,R,B,5,5,65,81,84,83,86,82,83,74,76,74,80,81,82,83,58,76,58,58,63,75,73,74,63,70,50,75,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,21,77
3,6,13,9,15,13,18,7,9,16,16,7,17,14,17,16,15,16,17,18,18,11,16,8,17,11,12,10,15,12,15,17,13,16,12,17,196,R,B,5,5,64,95,96,82,84,74,90,72,75,73,80,82,83,87,61,85,67,76,70,86,91,78,65,83,50,85,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,B,28,92
11,13,18,17,16,11,7,12,2,2,13,15,2,16,6,16,12,18,13,16,14,18,10,18,2,10,13,10,20,16,14,8,15,20,14,11,178,R,B,7,6,95,40,82,82,97,96,97,91,82,86,80,83,84,77,81,85,84,70,80,69,78,80,95,79,50,74,8,5,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,B,20,73
4,7,12,17,15,4,18,12,2,5,13,18,5,14,8,19,12,17,13,14,14,14,13,20,6,11,10,13,14,15,16,12,14,14,14,13,181,R,B,6,5,91,33,83,76,81,78,96,74,78,73,79,72,76,72,90,81,88,68,73,93,93,86,97,77,50,55,8,6,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,B,26,75
16,14,15,14,16,15,6,17,4,5,16,14,8,17,11,15,12,16,13,14,14,16,10,15,8,12,16,14,16,17,12,10,14,15,14,11,180,L,B,3,1,88,51,75,84,86,86,76,91,91,88,87,79,92,82,81,82,76,88,92,63,70,88,78,75,50,81,8,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,32,69
16,16,20,16,17,16,9,13,2,2,16,16,2,20,10,17,14,16,11,15,16,19,14,19,2,8,16,10,18,19,14,6,12,16,13,10,175,R,L,7,7,91,46,72,85,85,92,82,93,93,94,95,85,92,83,85,81,81,94,91,65,71,91,87,70,50,75,8,4,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,C,27,68
5,11,13,17,13,10,18,13,5,8,11,17,10,14,14,17,18,17,17,13,16,14,13,17,12,14,10,18,14,14,15,14,17,15,18,14,185,R,B,6,5,93,58,78,92,83,80,97,76,77,69,75,74,75,81,85,85,88,80,81,92,84,78,95,85,50,80,8,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,B,32,77
8,9,10,6,13,7,11,13,9,14,12,8,18,13,14,17,16,13,13,12,16,8,12,9,14,17,13,18,14,14,12,8,15,13,16,13,174,R,B,4,6,71,78,82,93,80,82,90,81,76,79,79,77,77,77,63,83,70,63,68,72,81,77,75,80,50,77,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,30,66
13,13,16,14,17,10,6,15,8,5,14,10,5,16,10,12,8,15,8,12,11,15,7,15,7,16,15,10,15,14,10,16,12,13,14,11,187,R,B,7,7,79,57,77,83,80,81,77,78,88,79,82,78,82,76,81,81,79,68,78,71,75,91,81,74,50,80,8,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,25,77
7,15,9,10,15,7,5,9,3,15,15,14,14,15,17,18,14,13,14,13,18,8,15,12,14,16,14,18,14,16,12,7,17,13,18,11,182,R,B,7,8,70,73,78,88,74,79,84,78,85,78,85,83,84,80,75,77,73,72,79,65,70,88,72,80,50,87,8,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,B,29,73
14,14,15,14,16,15,9,13,5,8,15,13,7,16,10,12,10,12,14,14,9,15,8,15,5,12,16,14,15,16,13,7,12,14,13,9,176,L,B,7,6,82,54,75,83,84,82,79,83,84,80,79,75,84,84,80,84,70,74,83,68,67,84,81,77,50,80,8,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,26,72
15,12,13,11,16,16,12,14,7,12,15,13,13,16,15,15,15,15,14,13,14,13,10,13,12,14,13,13,13,13,13,10,14,12,13,11,180,R,B,6,5,74,62,78,80,73,78,75,74,85,70,86,87,87,86,72,86,76,82,84,66,72,86,70,71,50,72,8,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,B,25,75
14,17,16,10,18,13,6,14,6,10,18,15,14,17,14,16,15,17,13,15,14,18,12,14,12,17,18,14,12,15,16,6,14,12,14,10,165,R,B,5,4,75,76,83,83,67,83,86,81,94,73,89,83,94,80,61,69,73,69,81,56,68,92,68,78,50,90,8,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,B,27,60
10,13,12,10,14,10,12,10,13,10,13,13,12,14,10,12,12,14,12,11,14,12,10,15,10,13,12,14,15,14,14,13,12,14,15,13,182,L,L,4,3,71,53,78,86,83,81,78,75,77,79,66,69,73,81,68,84,70,60,78,76,82,80,86,64,50,68,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,27,76
8,15,12,10,13,10,12,12,8,11,14,11,13,14,10,14,14,15,13,14,16,12,8,15,10,16,12,15,12,11,15,14,14,14,15,14,190,R,R,5,5,77,67,85,91,83,77,82,70,81,80,76,76,81,77,75,80,78,65,73,75,79,80,89,73,50,78,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,27,82
4,11,10,8,14,4,16,10,7,16,16,8,17,14,14,17,15,16,17,16,17,10,13,8,16,18,12,15,14,13,16,13,14,15,15,14,183,R,B,5,6,60,90,82,83,82,81,87,77,75,75,76,73,83,86,62,78,62,63,65,79,90,76,65,82,50,77,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B,25,75
4,5,10,7,14,8,17,7,7,17,13,14,15,13,17,17,15,15,17,16,15,8,14,10,17,15,12,14,12,13,16,13,14,12,14,15,183,R,B,5,5,65,90,82,78,81,78,90,73,77,76,82,81,84,82,64,84,69,73,77,84,90,80,68,82,50,78,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,C,34,79
4,10,10,7,13,6,15,6,9,15,12,8,16,13,16,14,15,15,14,13,15,8,12,10,14,15,10,14,13,14,15,14,15,14,15,16,189,L,B,4,4,64,80,84,79,83,82,82,72,77,78,79,80,80,83,53,70,53,65,68,72,77,76,68,79,50,73,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,24,80
6,12,14,18,14,12,15,16,9,7,15,14,6,16,17,18,14,16,11,17,16,13,12,17,5,17,14,16,12,11,15,12,14,14,14,16,186,R,B,8,6,85,50,86,79,77,72,85,72,83,73,82,80,82,78,91,85,89,71,79,77,75,87,85,75,50,83,8,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,32,84
12,16,18,11,17,13,4,15,3,3,15,11,6,18,14,14,9,12,10,13,14,17,5,13,7,8,14,12,18,17,15,6,10,17,15,11,170,L,B,6,6,83,50,87,81,90,96,74,90,83,90,80,85,86,90,75,86,79,75,87,63,67,88,88,70,50,72,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,29,70
16,15,17,15,17,17,13,16,2,2,16,16,3,19,9,12,11,14,9,15,11,17,11,15,7,15,17,16,16,17,14,7,14,14,13,12,177,L,B,6,4,86,49,82,80,79,86,78,85,92,84,82,77,81,83,93,86,90,88,89,74,68,93,83,71,50,82,8,4,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,B,26,73
14,15,15,14,16,15,10,15,2,6,15,14,8,17,11,14,11,12,11,11,17,17,11,15,11,12,14,16,15,15,15,11,15,15,15,14,185,L,B,5,4,76,55,81,83,82,81,74,79,88,86,82,79,83,80,73,86,72,81,83,67,67,85,82,77,50,75,8,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,A,25,77
10,15,14,12,15,8,13,12,6,10,17,12,12,15,12,14,14,16,13,15,15,13,12,15,11,15,16,12,12,13,16,14,15,14,15,14,188,L,B,5,4,75,69,83,86,79,76,80,74,84,78,86,84,84,80,72,83,72,65,73,77,78,85,76,67,50,81,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,24,80
9,10,12,12,14,9,14,12,4,13,14,10,16,14,17,13,18,16,15,13,15,12,14,13,13,13,12,18,12,12,18,12,16,17,18,15,186,R,R,6,6,70,73,85,87,84,76,80,69,80,82,81,84,80,84,64,82,69,65,68,74,78,83,70,77,50,82,8,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,25,82
11,14,16,11,15,10,10,13,5,10,14,9,12,14,16,13,12,11,10,10,15,15,4,15,12,9,12,14,18,16,10,7,10,17,14,9,179,R,R,4,4,76,63,71,87,90,90,76,86,86,85,79,76,85,84,73,86,74,67,81,62,78,85,86,80,50,78,8,5,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,B,31,71
4,11,12,10,13,6,12,12,5,15,14,9,15,12,18,15,20,15,18,13,18,8,13,16,17,19,10,20,15,11,17,10,16,14,17,16,180,L,L,4,3,75,73,82,94,83,77,87,73,73,81,79,81,79,80,73,81,72,65,74,75,80,77,85,90,50,81,8,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,A,32,75
9,13,15,12,15,8,5,13,3,8,15,12,12,17,10,14,13,14,14,15,15,14,12,17,11,16,17,16,13,16,13,8,16,12,15,12,178,R,R,6,6,79,60,80,90,76,82,81,83,84,78,83,80,81,77,74,80,76,70,73,71,72,85,84,80,50,84,8,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,28,76
15,16,14,11,17,18,8,14,5,11,18,14,12,16,10,18,11,15,14,15,13,14,7,11,16,17,17,13,14,15,13,8,14,12,13,12,180,R,B,6,5,80,67,74,83,75,76,74,82,84,76,92,86,91,82,80,84,80,92,89,62,70,88,78,75,50,90,8,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,B,29,70
4,9,11,10,14,12,15,12,7,14,17,13,12,13,11,19,17,15,15,13,18,10,18,7,19,16,17,14,12,13,16,16,15,14,16,15,190,R,B,5,4,68,86,85,84,75,71,83,66,79,74,81,83,87,90,72,85,75,71,69,83,86,78,66,85,50,80,8,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,32,86
11,13,12,12,13,10,11,13,13,12,13,12,15,13,14,12,14,11,13,12,15,14,10,15,11,13,10,15,13,12,13,12,15,16,17,14,184,R,B,6,6,73,60,79,83,83,77,77,74,81,82,81,81,76,82,72,87,73,76,78,70,78,81,83,70,50,65,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,28,74
12,14,14,12,16,10,14,11,13,12,14,9,16,16,11,14,14,18,11,15,9,14,7,15,15,14,12,14,15,15,15,12,16,15,15,16,180,L,L,6,3,72,67,85,88,84,84,78,77,84,80,77,78,84,85,66,81,72,66,78,75,77,82,78,74,50,74,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,29,80
2,10,7,6,9,1,16,10,19,18,12,4,19,8,16,17,20,16,17,16,19,8,18,11,18,18,10,16,10,10,17,15,9,16,15,18,187,L,L,4,5,65,95,87,80,81,75,89,67,71,79,74,84,74,85,65,84,71,63,71,83,87,69,70,90,50,79,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,B,34,85
11,13,17,13,15,10,7,11,6,5,12,13,6,17,10,12,8,14,10,15,12,16,5,13,6,12,16,11,17,18,10,9,12,15,12,8,180,R,B,5,5,84,42,77,83,84,89,80,93,94,83,82,79,82,80,79,79,76,64,83,68,71,88,85,70,50,83,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,19,76
15,13,14,17,14,16,6,14,7,6,12,15,9,13,14,15,7,12,14,16,15,15,12,18,10,13,14,14,18,15,9,8,14,16,15,8,180,R,L,7,6,87,50,78,82,87,84,86,80,86,86,84,81,84,80,86,86,82,84,86,74,73,85,93,81,50,82,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,C,30,67
8,9,11,17,16,12,15,10,4,7,12,14,9,13,15,17,14,16,16,14,16,12,13,18,9,14,12,15,15,15,12,10,13,12,14,10,174,R,R,5,5,87,45,76,85,81,84,87,81,76,73,78,70,72,70,82,76,87,80,78,82,78,85,88,74,50,76,8,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,25,71
9,10,11,8,15,7,10,9,7,12,15,8,13,15,10,17,11,18,15,18,12,7,10,8,16,19,13,12,9,14,11,12,16,13,16,9,187,R,B,5,4,67,71,77,83,74,72,82,67,81,76,83,80,86,80,64,78,66,67,79,70,74,85,66,77,50,86,8,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,B,23,71
8,10,13,10,14,8,12,12,9,11,14,14,13,15,11,18,14,18,17,17,17,8,16,12,16,19,12,14,11,13,16,14,18,13,15,14,186,R,B,4,3,78,67,83,87,73,70,85,68,85,73,84,82,82,78,74,83,79,70,72,76,77,86,76,78,50,92,8,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,30,73
12,12,16,14,18,13,6,12,7,5,13,11,8,16,11,14,7,12,10,15,10,14,6,16,9,13,15,11,15,14,9,12,13,14,14,10,185,R,B,7,7,80,45,77,79,83,77,79,80,86,79,84,80,80,75,70,81,80,70,77,73,74,88,81,70,50,80,8,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,23,82
8,10,9,11,12,14,16,14,8,12,14,9,16,11,18,16,17,14,16,14,18,7,15,17,12,17,12,18,11,12,15,14,16,11,18,13,182,L,B,5,5,76,70,80,91,77,71,84,70,79,73,78,82,81,86,72,86,78,76,80,87,93,82,80,87,50,82,8,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,27,79
12,12,15,13,18,10,8,13,5,7,14,10,9,18,10,16,8,14,13,18,8,15,6,12,10,16,18,11,12,15,13,7,9,10,12,9,176,R,B,6,5,78,53,75,78,72,82,74,81,92,81,87,82,83,78,82,78,79,75,80,70,69,94,82,68,50,82,8,3,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,B,26,75
5,9,12,10,14,8,15,9,8,16,15,11,17,15,7,18,14,19,15,17,14,9,13,6,18,16,14,11,9,10,15,16,15,11,13,16,192,R,B,6,6,69,87,85,82,69,67,86,60,79,76,84,85,88,89,70,81,74,65,68,88,84,78,72,84,50,77,8,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,31,90
6,10,13,15,13,8,14,11,7,4,12,14,6,14,13,13,11,13,12,13,15,14,12,14,6,13,10,16,16,13,15,15,16,15,13,13,196,R,B,5,5,82,42,85,80,84,80,84,72,78,78,72,70,65,65,79,82,79,63,64,79,75,76,84,73,50,70,8,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,22,87
4,8,12,15,14,12,19,14,3,8,12,14,7,14,14,16,17,14,14,14,16,13,9,17,9,19,13,18,10,10,19,17,15,13,15,18,193,L,B,3,3,83,41,90,76,73,73,78,67,80,67,80,67,79,76,79,85,86,68,67,93,90,84,83,70,50,83,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,B,33,91
12,11,15,12,16,10,8,10,5,6,12,10,8,15,16,12,9,10,10,12,12,15,7,15,8,14,14,16,17,17,8,7,13,15,14,7,177,R,B,6,5,77,43,77,84,86,89,78,84,81,87,76,71,72,71,74,76,70,65,67,72,81,82,82,75,50,70,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,21,69
13,14,17,12,17,12,10,13,7,12,17,12,12,17,14,15,14,14,11,14,17,16,11,13,12,15,16,15,14,15,16,9,12,14,15,14,181,R,B,6,5,73,70,82,84,83,86,83,86,94,94,87,85,84,72,63,68,61,72,75,66,66,91,72,76,50,90,8,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,B,25,75
12,11,13,15,15,10,9,15,5,4,12,13,8,14,14,16,10,12,13,13,16,15,8,17,6,12,11,16,16,18,14,6,13,14,14,7,169,R,B,8,8,82,50,72,85,82,86,81,88,85,80,77,74,80,76,80,80,78,65,81,79,76,90,80,78,50,85,8,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,31,64
7,10,15,14,15,5,11,10,5,9,14,10,10,15,14,13,12,16,11,16,13,11,12,14,12,14,15,14,16,11,17,14,13,15,11,17,191,R,B,6,5,75,63,87,83,82,74,82,73,83,80,81,83,82,80,71,75,68,62,78,72,74,84,83,78,50,80,8,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,23,83
9,14,17,11,15,16,9,15,8,5,14,15,8,16,9,14,9,13,12,14,16,15,8,15,7,18,15,19,15,13,10,11,12,16,14,11,174,R,B,6,6,77,58,81,87,87,89,80,90,90,87,82,81,78,79,75,83,80,81,88,67,79,88,83,80,50,85,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,30,70
6,12,11,10,12,8,10,10,6,12,13,10,20,14,15,16,15,14,15,16,15,13,5,15,15,20,14,20,16,14,15,7,18,15,20,13,168,R,B,4,4,66,83,80,99,85,85,98,82,77,84,80,71,79,70,65,76,64,65,68,62,71,77,80,85,50,82,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A,28,70
11,12,16,12,16,14,12,15,9,6,15,12,8,16,8,14,11,13,11,11,12,14,11,11,12,11,14,12,15,11,15,11,13,14,12,18,189,R,B,6,6,79,56,80,81,81,81,73,81,85,86,83,82,82,82,74,85,79,75,84,69,76,86,78,70,50,81,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,24,79
14,13,12,14,14,15,16,14,12,13,14,12,14,14,12,14,12,14,12,14,13,12,9,15,13,14,13,15,12,10,15,13,14,12,16,15,188,L,L,5,4,83,52,82,88,78,74,73,65,80,76,75,75,78,78,79,84,75,84,78,80,74,78,86,73,50,65,8,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,B,28,81
8,15,8,6,11,7,9,9,11,12,11,8,15,13,12,15,16,14,15,15,16,8,16,12,13,17,10,18,12,13,12,9,17,14,17,9,178,R,B,3,5,72,80,83,88,79,79,80,74,78,82,78,73,78,78,66,80,69,65,79,70,77,79,80,83,50,90,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,A,30,70
5,10,10,7,10,9,14,8,14,14,12,7,16,11,15,15,17,13,12,12,17,9,15,8,14,13,10,15,15,11,17,15,10,16,16,18,190,R,B,5,5,60,80,86,83,84,84,84,67,73,76,73,77,77,79,65,85,67,68,66,82,95,72,73,74,50,72,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,B,26,85
4,10,9,8,11,6,15,7,8,13,9,7,15,10,14,13,14,11,12,13,16,7,13,8,14,13,8,15,18,11,18,18,14,15,14,17,190,R,R,5,4,59,82,86,77,85,80,83,65,68,72,70,75,73,72,60,83,62,59,61,78,89,70,65,76,50,73,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,23,92
7,11,14,15,16,9,13,13,3,5,13,14,7,17,12,16,15,14,14,14,19,17,9,15,6,14,13,15,15,16,13,12,15,13,15,14,174,R,B,8,8,83,57,84,89,81,83,83,87,81,80,76,71,77,73,83,82,83,65,84,86,90,87,87,78,50,78,8,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,22,81
3,12,12,15,13,6,16,12,3,5,12,13,8,13,10,15,16,14,15,13,14,12,12,15,7,14,10,13,15,11,19,16,17,18,14,19,192,L,B,6,5,88,40,95,82,87,82,81,61,77,80,76,74,80,78,85,88,80,70,76,83,82,72,90,80,50,77,8,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,26,94
12,14,15,14,14,14,13,14,2,5,15,12,6,17,16,14,16,14,13,14,12,16,11,16,7,12,14,15,15,15,13,9,12,15,12,10,169,R,B,5,4,84,53,80,77,79,85,81,91,88,82,83,75,86,78,82,84,81,78,83,74,85,87,82,84,50,77,8,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,31,70
16,15,14,11,15,14,6,15,10,7,15,13,8,16,10,13,14,13,12,12,16,16,13,16,8,9,13,13,12,12,12,10,12,14,13,11,180,R,B,7,6,73,55,77,85,79,78,73,77,82,82,79,83,85,87,76,89,78,71,83,63,65,85,77,73,50,73,8,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,B,32,72
14,12,12,11,15,12,8,13,3,13,15,9,16,16,12,13,15,12,11,13,15,13,10,14,13,15,16,18,12,11,14,10,20,14,19,12,181,R,R,5,4,76,73,78,90,78,78,83,79,81,76,87,81,85,78,82,81,74,78,84,74,75,83,78,82,50,96,8,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A,27,68
15,14,12,10,17,13,6,10,3,10,17,11,11,16,12,16,12,15,16,15,13,16,13,14,13,18,16,14,10,9,12,7,13,12,11,10,175,R,R,5,4,76,66,70,72,74,68,75,70,88,75,90,83,88,81,71,78,71,76,85,57,60,90,72,77,50,90,8,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,34,73
13,15,15,11,14,11,9,11,9,10,14,10,12,15,14,13,8,12,10,12,11,15,7,14,11,12,14,14,15,15,11,9,12,14,14,10,178,R,R,5,5,72,59,76,81,88,86,77,82,82,84,75,75,82,77,70,77,70,70,77,65,65,81,84,70,50,72,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,23,72
13,12,14,11,15,15,6,14,7,9,16,12,11,15,11,15,13,15,15,15,14,15,11,15,13,16,15,12,13,15,11,6,14,13,13,9,168,R,B,5,4,76,63,75,85,77,80,77,86,82,79,81,79,83,80,76,80,70,78,82,63,68,84,81,73,50,83,8,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,24,62
3,8,10,10,12,5,16,8,11,17,13,9,17,11,13,15,14,15,17,14,18,6,13,11,16,13,11,15,13,15,16,15,18,14,16,16,188,R,B,6,5,60,89,89,82,82,73,90,72,73,74,82,84,80,84,59,79,61,55,62,84,80,75,61,83,50,78,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,24,80
7,14,11,9,13,5,12,9,12,13,12,6,15,12,14,14,15,12,12,13,14,7,10,13,13,14,11,15,14,13,13,10,16,15,14,12,180,R,B,6,6,70,70,80,86,82,79,80,75,77,82,77,76,79,81,68,82,69,64,75,78,80,74,76,80,50,79,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,30,75
5,5,9,10,12,6,16,8,5,17,13,8,15,12,12,17,16,14,13,14,16,12,12,10,16,16,13,16,12,12,14,16,14,13,15,16,189,R,R,5,5,65,91,87,82,74,71,84,66,78,71,80,81,83,87,68,78,68,63,66,83,80,79,66,84,50,86,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,C,27,78
4,5,7,8,10,5,18,7,9,17,11,10,16,10,14,17,18,16,16,17,16,6,18,7,17,15,8,16,11,10,11,15,15,12,13,13,185,R,B,5,5,62,92,83,78,76,67,85,68,74,70,75,75,75,76,65,76,67,55,62,87,84,76,66,88,50,88,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,B,33,73
